NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1932186681,431746274,ein,ffs,CPT,99213,negotiated,89.71,professional
1356484448,461508978,ein,ffs,CPT,99213,negotiated,69.66,professional
1992773402,261563012,ein,ffs,CPT,99213,negotiated,75.18,professional
1316966443,134034481,ein,ffs,CPT,99213,negotiated,91.88,professional
1295814440,423607166,npi,ffs,CPT,99213,negotiated,41.44,professional
1740214279,441448332,npi,ffs,CPT,99213,negotiated,73.19,professional
1568641611,309708824,npi,ffs,CPT,99213,negotiated,54.54,professional
1205882073,391678306,npi,ffs,CPT,99213,negotiated,95.45,professional
1790745339,27482207,npi,ffs,CPT,99213,negotiated,118.0,professional
1487071650,340714585,npi,ffs,CPT,99213,negotiated,74.0,professional
1467466110,223906200,npi,ffs,CPT,99213,negotiated,88.58,professional
1750491106,320587354,npi,ffs,CPT,99213,negotiated,177.41,professional
1295803427,391678306,npi,ffs,CPT,99213,negotiated,108.86,professional
1215030341,468846995,npi,ffs,CPT,99213,negotiated,68.09,professional
1255533477,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1992897821,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1457553562,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1164453734,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1770563264,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1669417366,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1104074640,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1932510393,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1477518884,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1225146913,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1811126311,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1295751857,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1376522482,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1497720171,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1649266339,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1609218965,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1346214160,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1003882069,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
1174056444,542129332,npi,ffs,CPT,99213,negotiated,185.24,professional
